comment_id,text,label,annotator_id,social_group,probs,brier_score
4,I do not dislike vegetables just the majority of them,5,54904271,man black,"{""1"": 0.37060125078163725, ""2"": 0.18346091854735136, ""3"": 0.1363366025256051, ""4"": 0.12031661096985072, ""5"": 0.18928461717555561}",0.1722652767453665
4,I do not dislike vegetables just the majority of them,5,74158862,man black,"{""1"": 0.37060125078163725, ""2"": 0.18346091854735136, ""3"": 0.1363366025256051, ""4"": 0.12031661096985072, ""5"": 0.18928461717555561}",0.1722652767453665
4,I do not dislike vegetables just the majority of them,2,86257299,man white,"{""1"": 0.37060125078163725, ""2"": 0.18346091854735136, ""3"": 0.1363366025256051, ""4"": 0.12031661096985072, ""5"": 0.18928461717555561}",0.1745947561966482
4,I do not dislike vegetables just the majority of them,5,69198055,woman white,"{""1"": 0.37060125078163725, ""2"": 0.18346091854735136, ""3"": 0.1363366025256051, ""4"": 0.12031661096985072, ""5"": 0.18928461717555561}",0.1722652767453665
4,I do not dislike vegetables just the majority of them,4,95971160,man white,"{""1"": 0.37060125078163725, ""2"": 0.18346091854735136, ""3"": 0.1363366025256051, ""4"": 0.12031661096985072, ""5"": 0.18928461717555561}",0.19985247922764846
4,I do not dislike vegetables just the majority of them,5,32677126,man white,"{""1"": 0.37060125078163725, ""2"": 0.18346091854735136, ""3"": 0.1363366025256051, ""4"": 0.12031661096985072, ""5"": 0.18928461717555561}",0.1722652767453665
45,Politicians are two-timing,4,10638687,woman black,"{""1"": 0.3586440406041129, ""2"": 0.14265874580571383, ""3"": 0.10768446452839811, ""4"": 0.06952631801951134, ""5"": 0.3214864310422638}",0.22594156154381828
45,Politicians are two-timing,5,8526465,man black,"{""1"": 0.3586440406041129, ""2"": 0.14265874580571383, ""3"": 0.10768446452839811, ""4"": 0.06952631801951134, ""5"": 0.3214864310422638}",0.1251575163347173
45,Politicians are two-timing,1,61283819,man white,"{""1"": 0.3586440406041129, ""2"": 0.14265874580571383, ""3"": 0.10768446452839811, ""4"": 0.06952631801951134, ""5"": 0.3214864310422638}",0.11029447250997768
45,Politicians are two-timing,5,40321857,woman white,"{""1"": 0.3586440406041129, ""2"": 0.14265874580571383, ""3"": 0.10768446452839811, ""4"": 0.06952631801951134, ""5"": 0.3214864310422638}",0.1251575163347173
45,Politicians are two-timing,5,77369868,woman white,"{""1"": 0.3586440406041129, ""2"": 0.14265874580571383, ""3"": 0.10768446452839811, ""4"": 0.06952631801951134, ""5"": 0.3214864310422638}",0.1251575163347173
45,Politicians are two-timing,4,48349576,woman white,"{""1"": 0.3586440406041129, ""2"": 0.14265874580571383, ""3"": 0.10768446452839811, ""4"": 0.06952631801951134, ""5"": 0.3214864310422638}",0.22594156154381828
63,"I live in the United States, and here we have plenty of space and resources to go around. I know Europe is a little more crowded, but at least here in the U.S. we have absolutely no reason to complain. If you want less people to emigrate to Europe, I suggest you support tackling climate change head on, and abandoning the imperialist economic policies practiced by the IMF and World Bank, as those are, and will, be the primary reasons why so many people want to escape their home countries.",4,10638687,woman black,"{""1"": 0.31743109425649807, ""2"": 0.15230508867496362, ""3"": 0.13867537801129992, ""4"": 0.13652540556446233, ""5"": 0.2550630334927761}",0.1907671452787793
63,"I live in the United States, and here we have plenty of space and resources to go around. I know Europe is a little more crowded, but at least here in the U.S. we have absolutely no reason to complain. If you want less people to emigrate to Europe, I suggest you support tackling climate change head on, and abandoning the imperialist economic policies practiced by the IMF and World Bank, as those are, and will, be the primary reasons why so many people want to escape their home countries.",5,24252197,man black,"{""1"": 0.31743109425649807, ""2"": 0.15230508867496362, ""3"": 0.13867537801129992, ""4"": 0.13652540556446233, ""5"": 0.2550630334927761}",0.14335209410745378
63,"I live in the United States, and here we have plenty of space and resources to go around. I know Europe is a little more crowded, but at least here in the U.S. we have absolutely no reason to complain. If you want less people to emigrate to Europe, I suggest you support tackling climate change head on, and abandoning the imperialist economic policies practiced by the IMF and World Bank, as those are, and will, be the primary reasons why so many people want to escape their home countries.",1,61283819,man white,"{""1"": 0.31743109425649807, ""2"": 0.15230508867496362, ""3"": 0.13867537801129992, ""4"": 0.13652540556446233, ""5"": 0.2550630334927761}",0.11840486980196499
63,"I live in the United States, and here we have plenty of space and resources to go around. I know Europe is a little more crowded, but at least here in the U.S. we have absolutely no reason to complain. If you want less people to emigrate to Europe, I suggest you support tackling climate change head on, and abandoning the imperialist economic policies practiced by the IMF and World Bank, as those are, and will, be the primary reasons why so many people want to escape their home countries.",1,44297731,man hisp,"{""1"": 0.31743109425649807, ""2"": 0.15230508867496362, ""3"": 0.13867537801129992, ""4"": 0.13652540556446233, ""5"": 0.2550630334927761}",0.11840486980196499
63,"I live in the United States, and here we have plenty of space and resources to go around. I know Europe is a little more crowded, but at least here in the U.S. we have absolutely no reason to complain. If you want less people to emigrate to Europe, I suggest you support tackling climate change head on, and abandoning the imperialist economic policies practiced by the IMF and World Bank, as those are, and will, be the primary reasons why so many people want to escape their home countries.",5,32677126,man white,"{""1"": 0.31743109425649807, ""2"": 0.15230508867496362, ""3"": 0.13867537801129992, ""4"": 0.13652540556446233, ""5"": 0.2550630334927761}",0.14335209410745378
63,"I live in the United States, and here we have plenty of space and resources to go around. I know Europe is a little more crowded, but at least here in the U.S. we have absolutely no reason to complain. If you want less people to emigrate to Europe, I suggest you support tackling climate change head on, and abandoning the imperialist economic policies practiced by the IMF and World Bank, as those are, and will, be the primary reasons why so many people want to escape their home countries.",4,11496683,woman white,"{""1"": 0.31743109425649807, ""2"": 0.15230508867496362, ""3"": 0.13867537801129992, ""4"": 0.13652540556446233, ""5"": 0.2550630334927761}",0.1907671452787793
77,We must remember that not all men are abusive,4,10638687,woman black,"{""1"": 0.5294016822913, ""2"": 0.16400098329379434, ""3"": 0.0891657900843669, ""4"": 0.05847634997181866, ""5"": 0.1589551943587201}",0.24536930784631342
77,We must remember that not all men are abusive,5,24252197,man black,"{""1"": 0.5294016822913, ""2"": 0.16400098329379434, ""3"": 0.0891657900843669, ""4"": 0.05847634997181866, ""5"": 0.1589551943587201}",0.20517777009155286
77,We must remember that not all men are abusive,1,44297731,man hisp,"{""1"": 0.5294016822913, ""2"": 0.16400098329379434, ""3"": 0.0891657900843669, ""4"": 0.05847634997181866, ""5"": 0.1589551943587201}",0.05699917491852088
77,We must remember that not all men are abusive,5,40321857,woman white,"{""1"": 0.5294016822913, ""2"": 0.16400098329379434, ""3"": 0.0891657900843669, ""4"": 0.05847634997181866, ""5"": 0.1589551943587201}",0.20517777009155286
77,We must remember that not all men are abusive,5,77369868,woman white,"{""1"": 0.5294016822913, ""2"": 0.16400098329379434, ""3"": 0.0891657900843669, ""4"": 0.05847634997181866, ""5"": 0.1589551943587201}",0.20517777009155286
77,We must remember that not all men are abusive,4,59819662,man white,"{""1"": 0.5294016822913, ""2"": 0.16400098329379434, ""3"": 0.0891657900843669, ""4"": 0.05847634997181866, ""5"": 0.1589551943587201}",0.24536930784631342
