comment_id,text_model,annotator_id,social_group,label,fraction_agreement,label_model,probs,brier_score,avg_brier_score,Q1,Q2,Q3,brier_score_model,num_annotators
Ugw-4AhDDIPtUPBMNjZ4AaABAg,"On stage, she's acting, off stage - That's ellen, that's real.",80514039f2440568f87657f295d732a1,1,1.0,50.0,1,"{""1"": 0.9240373969078064, ""2"": 0.02478308416903019, ""3"": 0.02834465727210045, ""4"": 0.02283485233783722}",0.0019273421016587,0.0019273421016587,0.0019273421016587,0.0019273421016587,0.0019273421016587,0.21394604055556196,1
Ugw-8-4r_ie_L9ZQ5zd4AaABAg,"… and here comes Ted Cruz, carrying what appears to be the final nail in the Ellen coffin",276cbe932710f817028a14564a543ae3,0,2.0,42.857142857142854,2,"{""1"": 0.028907258063554764, ""2"": 0.5421859622001648, ""3"": 0.40868136286735535, ""4"": 0.020225508138537407}",0.0944647125774807,0.0944647125774807,0.0944647125774807,0.0944647125774807,0.0944647125774807,0.11555769367756312,1
Ugw-8Nqin-FLbUbF6114AaABAg,"Helen is such a hypocrite, tells people to be nice and not bully people. Helen is going to be nice to celebrities of course she is..",276cbe932710f817028a14564a543ae3,0,2.0,28.57142857142857,3,"{""1"": 0.00022141252702567726, ""2"": 0.1217096820473671, ""3"": 0.8677765130996704, ""4"": 0.010292395949363708}",0.3811339854336612,0.3811339854336612,0.3811339854336612,0.3811339854336612,0.3811339854336612,0.1919888264573448,1
Ugw-Coi_2IQKUwIZnN14AaABAg,"It's not about being racist but respecting the original created characters who we have grown up with and loved whatever characteristics they may have. We even have Princess and the Frog, Mulan, Moana, and Encanto showing different ethnicity including their culture. We can create new characters that would serve as a role model for generations to come.",276cbe932710f817028a14564a543ae3,0,1.0,85.71428571428571,1,"{""1"": 0.6262096762657166, ""2"": 0.23256203532218933, ""3"": 0.09786044806241989, ""4"": 0.04336779937148094}",0.0513154349269705,0.0513154349269705,0.0513154349269705,0.0513154349269705,0.0513154349269705,0.11442027305982884,1
Ugw-XhqZFNM7Z1aSiMt4AaABAg,If Ted Cruz is in your corner.....you're a loser.,5b0a7f3d17b66540674a4305eb32604e,0,3.0,57.14285714285714,3,"{""1"": 0.0007039631018415093, ""2"": 0.06776897609233856, ""3"": 0.7778862714767456, ""4"": 0.15364080667495728}",0.0193832838897215,0.0193832838897215,0.0193832838897215,0.0193832838897215,0.0193832838897215,0.15832641962809438,1
Ugw-XkoygOhQH9eyR814AaABAg,"Clarification of some jewish terms:


A major jewish publication, the Jewish Chronicle, reveals that the jewish word for gentile (ie - non-jewish) woman is the offensive Yiddish word 'shiksa' - meaning 'whore'. It is derived from the hebrew root 'sheigetz' (ie - 'abomination'). It is also pointed out that a little gentile girl is called a 'shikselke', and it means 'little female abomination'. Even the terms 'gentile' and 'goy/goyem' are extremely derogatory and offensive. It is derived from the old Yiddish terminology which means 'heathen' and 'animal like'. (The jewish chronicle, May 17, 1991, 'Some carefully and carelessly chosen words', by C. Bermant).


Shiksa - the jewish term for a gentile (non-jewish) woman, from the root word 'sheigetz', meaning 'abomination' or 'whore'.


Shikselke - A gentile (non-jewish) little girl, meaning 'little female abomination'.


HERE ARE ACTUAL VERSES FROM THE TALMUD. FULLY REFERENCED:


1) talmud sanhedrin 59a, page 400, soncino edition, 1935.

A heathen (gentile/non-jew) who pries into the torah and other jewish scriptures is condemned to death, for it is written, it is OUR inheritance, not theirs.


2) 57a Gittin, London, soncino press, page 261, translated by M. Simon 1936.

Balaam (Jesus) is raised from the dead and being punished in boiling hot semen. Those who mock the words of the jewish sages and sin against israel are boiled in hot excrement.


3) talmud sanhedrin, baba mezia, 114a-114b.

Only jews are human. Gentiles are animals.


4) talmud sanhedrin 57a, page 388, soncino edition 1935.

For murder, whether of a Cuthean (gentile) by a Cuthean, or of an israelite by a Cuthean, punishment is incurred; but of a Cuthean by an israelite, there is no death penalty.


5) babylonian talmud. Funk &amp; wagnall's jewish encyclopaedia, 1907, gentile, page 617.

Even the best of the gentiles should be killed.


6) talmud, moed kattan, baba mezia, 114a-114b, soncino edition 1935, talmud sanhedrin.

If a jew is tempted to do evil, he should go to a city where he is not known and do the evil there.


7) Funk &amp; Wagnall's jewish encyclopaedia, 1907, gentile, page 621.

Gentiles' flesh is as the flesh of asses and whose issue is like the issue of horses.


8) talmud sanhedrin, 58b, page 398, soncino edition. 1935.

If a heathen (gentile) hits a jew, the gentile must be killed. Hitting a jew is hitting God.


9) talmud, babba kamma, 37b, page 211, soncino edition, 1935.

If an ox of an israelite gores an ox of a Canaanite, there is no liability. But if an ox of a Canaanite (gentile) gores an ox of an israelite, the payment is to be in full.


10) talmud baba mezia 24a, also affirmmed in baba kamma 113b, talmud sanhedrin, page 666, soncino edition, 1935.

If a jew finds an object lost by a heathen (gentile), it does not have to be returned.


11) talmud sanhedrin, 76a, page 470, soncino edition, 1935.

God will not spare a jew who marries his daughter to an old man or takes a wife for his infant son or returns a lost article to a Cuthean (gentile).


12) talmud sanhedrin, 57a, page 388, soncino edition, 1935.

What a jew obtains by theft from a Cuthean (gentile), he may keep.


13) talmud, babba kamma, 37b, soncino edition, 1935.

Gentiles are outside the protection of the law and God has exposed their money to israel.


14) talmud, babba kamma, 113a, page 664-665, soncino edition, 1935.

Jews may use lies (subterfuges) to circumvent a gentile.


15) talmud yebamoth, 98a, soncino edition, 1936.

All gentile (non-jew) children are animals.


16) talmud, abodah zarah, 22a-22b, soncino edition, 1935.

Gentiles prefer sex with cows.


17) talmud, abodah zarah, 67b, soncino edition, 1935.

The vessels of gentiles, do they impart a worsened flavour to the food cooked in them?.


18) talmud sanhedrin 105a-b, page 717, soncino edition, 1935.

Balaam (Jesus) fornicated with his jackass.


19) 57a Gittin, talmud sanhedrin, pg.261, soncino press 1936, translated by Simon M. Trans

jewish priests raised balaam (Jesus) from the dead and punished him in boiling hot semen.


20) talmud sanhedrin 106a and 105a-b, pg.726, soncino edition 1935.

She who was the descendant of princes and governors (the virgin Mary), played the harlot with a carpenter.


21) talmud sanhedrin, 52b, pg.356, soncino edition, 1935.

Jesus was lowered into a pit of dung upto his armpits. Then a hard cloth was placed within a soft one, wound round his neck and the two ends pulled in opposite directions until he was dead.


22) talmud sanhedrin 106 soncino 1935 edition &amp; jewish encyclopaedia, balaam, pg.469.

Hast thou heard how old balaam (Jesus) was?. Bloody and deceitful men shall not live out half their days. It follows that he was thirty three or thirty four years old.


23) talmud sanhaedrin 90a, soncino edition 1935.

Those who read the uncanonical books (new testament), will have no portion in the world to come.


24) talmud sanhedrin 116a, soncino edition 1935.

jews must destroy the books of the christians.


25) The jewish press, (1988).Feb.19.8C.

'Marriage to a gentile can never be sanctioned or condoned. Such a liaison classifies the woman as 'zona'. Common parlance interprets the term 'zona' to refer to a prostitute.


A leading zionist academic, reported that the zionists publicly and ceremoniously burned hundreds of copies of the new testament in Jerusalem on March 23, 1980. They were destroyed under the auspices of yad le'akhim, a jewish religious organisation subsidized by the israeli ministry of religions (I. Shahak, jewish history, jewish religion, 1994, page 21). Furthermore, Dr. Shahak wrote -


'jewish children are actually taught passages such as that which commands every jew, whenever passing near a cemetery, to utter a blessing if it is jewish, but to curse the mothers of the dead if it is non-jewish. It became customary to spit (usually three times) upon seeing a church or a crucifix'. By I. Shahak, jewish history, jewish religion, page 23 &amp; 93, 1994 edition.

Furthermore, Dr. Shahak quoted the very popular, israeli published 'talmudic encyclopaedia', which discusses the relationship between jew and goy ('goy' meaning any non-jew):


'If a jew has coitus (sexual intercourse) with a gentile woman, whether she be a child of three or an adult, whether married or unmarried and even if she is a minor aged only nine years and one day old - because he had willful coitus with her, she must be killed and as is the case with a beast, because through her, a jew got into trouble' (Chapter 'Goy', talmudic encyclopaedia). By I. Shahak, jewish history, jewish religion, page 87, 1994 edition.",5f564ffcb50cab0ead68060d76b72988,1,1.0,42.857142857142854,4,"{""1"": 4.220603659632616e-05, ""2"": 0.0035909870639443398, ""3"": 0.09917299449443817, ""4"": 0.8971937894821167}",0.4536801159046312,0.4536801159046312,0.4536801159046312,0.4536801159046312,0.4536801159046312,0.2037012189229294,1
Ugw-z2euYCdy_8PlvCp4AaABAg,This audio sounds like made by ai.,80514039f2440568f87657f295d732a1,1,2.0,66.66666666666666,1,"{""1"": 0.9409775733947754, ""2"": 0.04504970833659172, ""3"": 0.013698937371373177, ""4"": 0.00027383887208998203}",0.4493891472631953,0.4493891472631953,0.4493891472631953,0.4493891472631953,0.4493891472631953,0.22191400143149115,1
Ugw-zAoUth-zJSm-Rk14AaABAg,Kanye is just tryna get attention &amp,276cbe932710f817028a14564a543ae3,0,2.0,57.14285714285714,2,"{""1"": 0.028138259425759315, ""2"": 0.8495095372200012, ""3"": 0.12095952033996582, ""4"": 0.0013926628744229674}",0.0095180715255014,0.0095180715255014,0.0095180715255014,0.0095180715255014,0.0095180715255014,0.1842728401355021,1
Ugw0Azrl35Lsi3YKzEp4AaABAg,"That’s Ai generated, don’t let this fool you",2dc0ccbf44154f06a0a8bf39a76e3e25,1,2.0,40.0,1,"{""1"": 0.8446709513664246, ""2"": 0.15258972346782684, ""3"": 0.0026052806060761213, ""4"": 0.0001340196467936039}",0.3578949995757243,0.3578949995757243,0.3578949995757243,0.3578949995757243,0.3578949995757243,0.1841898613096377,1
Ugw0LNU6yznhlqbjGHx4AaABAg,When a news segment is about someones tweet lmao. get a soul why dont ya,9353d091e26ba7e7bc594983cdf2d8ac,1,1.0,50.0,3,"{""1"": 0.0009346426231786609, ""2"": 0.25909265875816345, ""3"": 0.7239334583282471, ""4"": 0.016039272770285606}",0.3973993761227363,0.3973993761227363,0.3973993761227363,0.3973993761227363,0.3973993761227363,0.14786669743432568,1
