comment_id,text,label,annotator_id,social_group,probs,brier_score
Ugw-4AhDDIPtUPBMNjZ4AaABAg,"On stage, she's acting, off stage - That's ellen, that's real.",1.0,80514039f2440568f87657f295d732a1,Female,"{""1"": 0.11802094363086127, ""2"": 0.04635280643779958, ""3"": 0.1508204927213383, ""4"": 0.6848057572100009}",0.31793534616778163
Ugw-8-4r_ie_L9ZQ5zd4AaABAg,"… and here comes Ted Cruz, carrying what appears to be the final nail in the Ellen coffin",2.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.06238917382016934, ""2"": 0.02423871810929572, ""3"": 0.09894074317959445, ""4"": 0.8144313648909404}",0.4072725517565011
Ugw-8Nqin-FLbUbF6114AaABAg,"Helen is such a hypocrite, tells people to be nice and not bully people. Helen is going to be nice to celebrities of course she is..",2.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.07409110799560033, ""2"": 0.051665650389690516, ""3"": 0.16877481953564674, ""4"": 0.7054684220790624}",0.3577495412987092
Ugw-Coi_2IQKUwIZnN14AaABAg,"It's not about being racist but respecting the original created characters who we have grown up with and loved whatever characteristics they may have. We even have Princess and the Frog, Mulan, Moana, and Encanto showing different ethnicity including their culture. We can create new characters that would serve as a role model for generations to come.",1.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.19485250559456385, ""2"": 0.1838231207389443, ""3"": 0.3018395551124214, ""4"": 0.31948481855407046}",0.21880777344563707
Ugw-XhqZFNM7Z1aSiMt4AaABAg,If Ted Cruz is in your corner.....you're a loser.,3.0,5b0a7f3d17b66540674a4305eb32604e,Male,"{""1"": 0.07802237172566198, ""2"": 0.01683966464191598, ""3"": 0.06745865969965305, ""4"": 0.837679303932769}",0.39442775810035136
Ugw-XkoygOhQH9eyR814AaABAg,"Clarification of some jewish terms:


A major jewish publication, the Jewish Chronicle, reveals that the jewish word for gentile (ie - non-jewish) woman is the offensive Yiddish word 'shiksa' - meaning 'whore'. It is derived from the hebrew root 'sheigetz' (ie - 'abomination'). It is also pointed out that a little gentile girl is called a 'shikselke', and it means 'little female abomination'. Even the terms 'gentile' and 'goy/goyem' are extremely derogatory and offensive. It is derived from the old Yiddish terminology which means 'heathen' and 'animal like'. (The jewish chronicle, May 17, 1991, 'Some carefully and carelessly chosen words', by C. Bermant).


Shiksa - the jewish term for a gentile (non-jewish) woman, from the root word 'sheigetz', meaning 'abomination' or 'whore'.


Shikselke - A gentile (non-jewish) little girl, meaning 'little female abomination'.


HERE ARE ACTUAL VERSES FROM THE TALMUD. FULLY REFERENCED:


1) talmud sanhedrin 59a, page 400, soncino edition, 1935.

A heathen (gentile/non-jew) who pries into the torah and other jewish scriptures is condemned to death, for it is written, it is OUR inheritance, not theirs.


2) 57a Gittin, London, soncino press, page 261, translated by M. Simon 1936.

Balaam (Jesus) is raised from the dead and being punished in boiling hot semen. Those who mock the words of the jewish sages and sin against israel are boiled in hot excrement.


3) talmud sanhedrin, baba mezia, 114a-114b.

Only jews are human. Gentiles are animals.


4) talmud sanhedrin 57a, page 388, soncino edition 1935.

For murder, whether of a Cuthean (gentile) by a Cuthean, or of an israelite by a Cuthean, punishment is incurred; but of a Cuthean by an israelite, there is no death penalty.


5) babylonian talmud. Funk &amp; wagnall's jewish encyclopaedia, 1907, gentile, page 617.

Even the best of the gentiles should be killed.


6) talmud, moed kattan, baba mezia, 114a-114b, soncino edition 1935, talmud sanhedrin.

If a jew is tempted to do evil, he should go to a city where he is not known and do the evil there.


7) Funk &amp; Wagnall's jewish encyclopaedia, 1907, gentile, page 621.

Gentiles' flesh is as the flesh of asses and whose issue is like the issue of horses.


8) talmud sanhedrin, 58b, page 398, soncino edition. 1935.

If a heathen (gentile) hits a jew, the gentile must be killed. Hitting a jew is hitting God.


9) talmud, babba kamma, 37b, page 211, soncino edition, 1935.

If an ox of an israelite gores an ox of a Canaanite, there is no liability. But if an ox of a Canaanite (gentile) gores an ox of an israelite, the payment is to be in full.


10) talmud baba mezia 24a, also affirmmed in baba kamma 113b, talmud sanhedrin, page 666, soncino edition, 1935.

If a jew finds an object lost by a heathen (gentile), it does not have to be returned.


11) talmud sanhedrin, 76a, page 470, soncino edition, 1935.

God will not spare a jew who marries his daughter to an old man or takes a wife for his infant son or returns a lost article to a Cuthean (gentile).


12) talmud sanhedrin, 57a, page 388, soncino edition, 1935.

What a jew obtains by theft from a Cuthean (gentile), he may keep.


13) talmud, babba kamma, 37b, soncino edition, 1935.

Gentiles are outside the protection of the law and God has exposed their money to israel.


14) talmud, babba kamma, 113a, page 664-665, soncino edition, 1935.

Jews may use lies (subterfuges) to circumvent a gentile.


15) talmud yebamoth, 98a, soncino edition, 1936.

All gentile (non-jew) children are animals.


16) talmud, abodah zarah, 22a-22b, soncino edition, 1935.

Gentiles prefer sex with cows.


17) talmud, abodah zarah, 67b, soncino edition, 1935.

The vessels of gentiles, do they impart a worsened flavour to the food cooked in them?.


18) talmud sanhedrin 105a-b, page 717, soncino edition, 1935.

Balaam (Jesus) fornicated with his jackass.


19) 57a Gittin, talmud sanhedrin, pg.261, soncino press 1936, translated by Simon M. Trans

jewish priests raised balaam (Jesus) from the dead and punished him in boiling hot semen.


20) talmud sanhedrin 106a and 105a-b, pg.726, soncino edition 1935.

She who was the descendant of princes and governors (the virgin Mary), played the harlot with a carpenter.


21) talmud sanhedrin, 52b, pg.356, soncino edition, 1935.

Jesus was lowered into a pit of dung upto his armpits. Then a hard cloth was placed within a soft one, wound round his neck and the two ends pulled in opposite directions until he was dead.


22) talmud sanhedrin 106 soncino 1935 edition &amp; jewish encyclopaedia, balaam, pg.469.

Hast thou heard how old balaam (Jesus) was?. Bloody and deceitful men shall not live out half their days. It follows that he was thirty three or thirty four years old.


23) talmud sanhaedrin 90a, soncino edition 1935.

Those who read the uncanonical books (new testament), will have no portion in the world to come.


24) talmud sanhedrin 116a, soncino edition 1935.

jews must destroy the books of the christians.


25) The jewish press, (1988).Feb.19.8C.

'Marriage to a gentile can never be sanctioned or condoned. Such a liaison classifies the woman as 'zona'. Common parlance interprets the term 'zona' to refer to a prostitute.


A leading zionist academic, reported that the zionists publicly and ceremoniously burned hundreds of copies of the new testament in Jerusalem on March 23, 1980. They were destroyed under the auspices of yad le'akhim, a jewish religious organisation subsidized by the israeli ministry of religions (I. Shahak, jewish history, jewish religion, 1994, page 21). Furthermore, Dr. Shahak wrote -


'jewish children are actually taught passages such as that which commands every jew, whenever passing near a cemetery, to utter a blessing if it is jewish, but to curse the mothers of the dead if it is non-jewish. It became customary to spit (usually three times) upon seeing a church or a crucifix'. By I. Shahak, jewish history, jewish religion, page 23 &amp; 93, 1994 edition.

Furthermore, Dr. Shahak quoted the very popular, israeli published 'talmudic encyclopaedia', which discusses the relationship between jew and goy ('goy' meaning any non-jew):


'If a jew has coitus (sexual intercourse) with a gentile woman, whether she be a child of three or an adult, whether married or unmarried and even if she is a minor aged only nine years and one day old - because he had willful coitus with her, she must be killed and as is the case with a beast, because through her, a jew got into trouble' (Chapter 'Goy', talmudic encyclopaedia). By I. Shahak, jewish history, jewish religion, page 87, 1994 edition.",1.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.027159886053990695, ""2"": 0.0063713844270252154, ""3"": 0.04580725517036988, ""4"": 0.9206614743486142}",0.4490435842045022
Ugw-z2euYCdy_8PlvCp4AaABAg,This audio sounds like made by ai.,2.0,80514039f2440568f87657f295d732a1,Female,"{""1"": 0.1813628569296488, ""2"": 0.08793308105344426, ""3"": 0.26188358259703287, ""4"": 0.46882047941987415}",0.28828355081692125
Ugw-zAoUth-zJSm-Rk14AaABAg,Kanye is just tryna get attention &amp,2.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.07075498026377874, ""2"": 0.04041714615575498, ""3"": 0.13138011085671136, ""4"": 0.7574477627237548}",0.3791983418519842
Ugw0Azrl35Lsi3YKzEp4AaABAg,"That’s Ai generated, don’t let this fool you",2.0,2dc0ccbf44154f06a0a8bf39a76e3e25,Female,"{""1"": 0.19847195944376958, ""2"": 0.10565015158044684, ""3"": 0.2726888874083249, ""4"": 0.4231890015674587}",0.27317523260429494
Ugw0LNU6yznhlqbjGHx4AaABAg,When a news segment is about someones tweet lmao. get a soul why dont ya,1.0,9353d091e26ba7e7bc594983cdf2d8ac,Female,"{""1"": 0.15905923700891816, ""2"": 0.08990540214725115, ""3"": 0.2300136660221966, ""4"": 0.5210216948216341}",0.2599085603067651
Ugw0SKomzyhYyP_9cO14AaABAg,So she hates the trans community?,1.0,e82b8b10b5ddbb8ebf76bf7f1fc7f150,Female,"{""1"": 0.45202863828123296, ""2"": 0.23038744989973106, ""3"": 0.14159314190384023, ""4"": 0.17599076991519566}",0.1010930898161913
Ugw0cnGnpB65X7vH34p4AaABAg,"I never liked Ellen, she is a stupid over hyped KAREN",4.0,80514039f2440568f87657f295d732a1,Female,"{""1"": 0.09265175478918687, ""2"": 0.036552572895180054, ""3"": 0.14698130216890049, ""4"": 0.7238143701467326}",0.026950610893871185
Ugw0hiW_vKxKJg798KN4AaABAg,And Emma Watson is hailed as a feminist 😂,2.0,5b0a7f3d17b66540674a4305eb32604e,Male,"{""1"": 0.13825587962836153, ""2"": 0.09756173655852045, ""3"": 0.16755200050402563, ""4"": 0.5966303833090923}",0.3043877486838852
Ugw0n4xsKzRQbiYUYNp4AaABAg,The reactions from the kids 🥰🥰🥰,1.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.14094467391357418, ""2"": 0.03692849841977497, ""3"": 0.12096381808309342, ""4"": 0.7011630095835575}",0.3114003946416266
Ugw0qsGcLBGItHFSQb14AaABAg,"I'm Asian, I don't think I want an Asian mermaid. The same thing as I don't want to see a white or asian Black Panther. Helle Bailey is nice beautiful and everything but not for this part.",2.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.15748230112725287, ""2"": 0.12988842457053457, ""3"": 0.34363995677617454, ""4"": 0.3689893175260381}",0.2590340913015359
Ugw0tPb9IaRFcdHeTD14AaABAg,So much for freedom of speech.,2.0,e82b8b10b5ddbb8ebf76bf7f1fc7f150,Female,"{""1"": 0.3848298241249067, ""2"": 0.22390342496504567, ""3"": 0.12560275286081765, ""4"": 0.26566399804922997}",0.2091933246756775
Ugw1-cPEeNg4IQUDSy94AaABAg,kevin hart is black js 😄,2.0,9353d091e26ba7e7bc594983cdf2d8ac,Female,"{""1"": 0.1816818483611229, ""2"": 0.07311134199494752, ""3"": 0.14696683158168464, ""4"": 0.5982399780622449}",0.31790529982484894
Ugw16D2oK20A__5E66N4AaABAg,"My suggestion is, don't allow pigs to have microphones. This will always turn out bad.",4.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.13837183450560453, ""2"": 0.07947920710169307, ""3"": 0.2532424418499342, ""4"": 0.5289065165427682}",0.07788112836398667
Ugw1Cv1E4ZprjTRZwtp4AaABAg,she actually chose to have those lashes on a program. She’s the delusional one. Yuck.,3.0,9353d091e26ba7e7bc594983cdf2d8ac,Female,"{""1"": 0.1599515685649831, ""2"": 0.08045519518686943, ""3"": 0.2721263593432638, ""4"": 0.4874668769048836}",0.1998703838903121
Ugw1DH6JocRzddkSsId4AaABAg,TOP G,1.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.4157311417146615, ""2"": 0.2595759059196033, ""3"": 0.12726772647946744, ""4"": 0.19742522588626776}",0.11598088592888302
Ugw1ELFXR9p7t7aVoNl4AaABAg,Speaking out against the Synagogue of Satan will never end good,2.0,9353d091e26ba7e7bc594983cdf2d8ac,Female,"{""1"": 0.21932610842134284, ""2"": 0.12705726103372925, ""3"": 0.24729751991051188, ""4"": 0.4063191106344161}",0.25909606259245455
Ugw1N5Ie4Oya-s1zv014AaABAg,"Go JK, Go JK!",1.0,5b0a7f3d17b66540674a4305eb32604e,Male,"{""1"": 0.27276449130976593, ""2"": 0.3154128369551215, ""3"": 0.24993214509501252, ""4"": 0.1618905266401001}",0.17925784064590622
Ugw1SAmYSjT1v9h9iHx4AaABAg,She be needin weight watchers.,4.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.1926047260842734, ""2"": 0.1100376234404426, ""3"": 0.2365947617360482, ""4"": 0.4607628887392358}",0.09898965063105243
Ugw1bbBQJxY3yxy4FBN4AaABAg,"I’m starting to see the truth. Kanye wasn’t an antisemite, he was exposing Hollywood and the IRS. I’m actually getting scared how right he is, a test ago you wouldn’t be able to tell me shit. Now I see.",1.0,1ee06d457c279606e28bfa01c438a233,Female,"{""1"": 0.13249473880609558, ""2"": 0.19619654114236176, ""3"": 0.3876565727159869, ""4"": 0.28365214733555566}",0.255448655003327
Ugw1nCetQgEz2KVCeBB4AaABAg,I'm glad this is getting racist remarks Ariel is not black,2.0,e82b8b10b5ddbb8ebf76bf7f1fc7f150,Female,"{""1"": 0.09283932868779665, ""2"": 0.02647246100941868, ""3"": 0.10562169883412413, ""4"": 0.7750665114686606}",0.3920647626472661
Ugw1oyNKWf7LfzCgnO54AaABAg,LIZZLY BEAR😝 LIZBIAN🖖✌️ 👀 MY COMEDY N YESHUA CHRIST VIDEO,4.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.09898786311157794, ""2"": 0.047899679956386325, ""3"": 0.16289784686565767, ""4"": 0.6902146100663781}",0.033648918178278545
Ugw1zjm6xZG2hX6gw754AaABAg,"So, making an established white character race swap to become black is not racist?",1.0,5eb9de9cdba3f80b1997c345b25fe0aa,Female,"{""1"": 0.4114030648706286, ""2"": 0.25466938425510177, ""3"": 0.11512383665991244, ""4"": 0.2188037142143571}",0.11810785261046458
